filename,subject,win_start,win_end
GaCo01_01.txt,GaCo01,0,200
GaCo01_01.txt,GaCo01,100,300
GaCo01_01.txt,GaCo01,200,400
GaCo01_01.txt,GaCo01,300,500
GaCo01_01.txt,GaCo01,400,600
GaCo01_01.txt,GaCo01,500,700
GaCo01_01.txt,GaCo01,600,800
GaCo01_01.txt,GaCo01,700,900
GaCo01_01.txt,GaCo01,800,1000
GaCo01_01.txt,GaCo01,900,1100
GaCo01_01.txt,GaCo01,1000,1200
GaCo01_01.txt,GaCo01,1100,1300
GaCo01_01.txt,GaCo01,1200,1400
GaCo01_01.txt,GaCo01,1300,1500
GaCo01_01.txt,GaCo01,1400,1600
GaCo01_01.txt,GaCo01,1500,1700
GaCo01_01.txt,GaCo01,1600,1800
GaCo01_01.txt,GaCo01,1700,1900
GaCo01_01.txt,GaCo01,1800,2000
GaCo01_01.txt,GaCo01,1900,2100
GaCo01_01.txt,GaCo01,2000,2200
GaCo01_01.txt,GaCo01,2100,2300
GaCo01_01.txt,GaCo01,2200,2400
GaCo01_01.txt,GaCo01,2300,2500
GaCo01_01.txt,GaCo01,2400,2600
GaCo01_01.txt,GaCo01,2500,2700
GaCo01_01.txt,GaCo01,2600,2800
GaCo01_01.txt,GaCo01,2700,2900
GaCo01_01.txt,GaCo01,2800,3000
GaCo01_01.txt,GaCo01,2900,3100
GaCo01_01.txt,GaCo01,3000,3200
GaCo01_01.txt,GaCo01,3100,3300
GaCo01_01.txt,GaCo01,3200,3400
GaCo01_01.txt,GaCo01,3300,3500
GaCo01_01.txt,GaCo01,3400,3600
GaCo01_01.txt,GaCo01,3500,3700
GaCo01_01.txt,GaCo01,3600,3800
GaCo01_01.txt,GaCo01,3700,3900
GaCo01_01.txt,GaCo01,3800,4000
GaCo01_01.txt,GaCo01,3900,4100
GaCo01_01.txt,GaCo01,4000,4200
GaCo01_01.txt,GaCo01,4100,4300
GaCo01_01.txt,GaCo01,4200,4400
GaCo01_01.txt,GaCo01,4300,4500
GaCo01_01.txt,GaCo01,4400,4600
GaCo01_01.txt,GaCo01,4500,4700
GaCo01_01.txt,GaCo01,4600,4800
GaCo01_01.txt,GaCo01,4700,4900
GaCo01_01.txt,GaCo01,4800,5000
GaCo01_01.txt,GaCo01,4900,5100
GaCo01_01.txt,GaCo01,5000,5200
GaCo01_01.txt,GaCo01,5100,5300
GaCo01_01.txt,GaCo01,5200,5400
GaCo01_01.txt,GaCo01,5300,5500
GaCo01_01.txt,GaCo01,5400,5600
GaCo01_01.txt,GaCo01,5500,5700
GaCo01_01.txt,GaCo01,5600,5800
GaCo01_01.txt,GaCo01,5700,5900
GaCo01_01.txt,GaCo01,5800,6000
GaCo01_01.txt,GaCo01,5900,6100
GaCo01_01.txt,GaCo01,6000,6200
GaCo01_01.txt,GaCo01,6100,6300
GaCo01_01.txt,GaCo01,6200,6400
GaCo01_01.txt,GaCo01,6300,6500
GaCo01_01.txt,GaCo01,6400,6600
GaCo01_01.txt,GaCo01,6500,6700
GaCo01_01.txt,GaCo01,6600,6800
GaCo01_01.txt,GaCo01,6700,6900
GaCo01_01.txt,GaCo01,6800,7000
GaCo01_01.txt,GaCo01,6900,7100
GaCo01_01.txt,GaCo01,7000,7200
GaCo01_01.txt,GaCo01,7100,7300
GaCo01_01.txt,GaCo01,7200,7400
GaCo01_01.txt,GaCo01,7300,7500
GaCo01_01.txt,GaCo01,7400,7600
GaCo01_01.txt,GaCo01,7500,7700
GaCo01_01.txt,GaCo01,7600,7800
GaCo01_01.txt,GaCo01,7700,7900
GaCo01_01.txt,GaCo01,7800,8000
GaCo01_01.txt,GaCo01,7900,8100
GaCo01_01.txt,GaCo01,8000,8200
GaCo01_01.txt,GaCo01,8100,8300
GaCo01_01.txt,GaCo01,8200,8400
GaCo01_01.txt,GaCo01,8300,8500
GaCo01_01.txt,GaCo01,8400,8600
GaCo01_01.txt,GaCo01,8500,8700
GaCo01_01.txt,GaCo01,8600,8800
GaCo01_01.txt,GaCo01,8700,8900
GaCo01_01.txt,GaCo01,8800,9000
GaCo01_01.txt,GaCo01,8900,9100
GaCo01_01.txt,GaCo01,9000,9200
GaCo01_01.txt,GaCo01,9100,9300
GaCo01_01.txt,GaCo01,9200,9400
GaCo01_01.txt,GaCo01,9300,9500
GaCo01_01.txt,GaCo01,9400,9600
GaCo01_01.txt,GaCo01,9500,9700
GaCo01_01.txt,GaCo01,9600,9800
GaCo01_01.txt,GaCo01,9700,9900
GaCo01_01.txt,GaCo01,9800,10000
GaCo01_01.txt,GaCo01,9900,10100
GaCo01_01.txt,GaCo01,10000,10200
GaCo01_01.txt,GaCo01,10100,10300
GaCo01_01.txt,GaCo01,10200,10400
GaCo01_01.txt,GaCo01,10300,10500
GaCo01_01.txt,GaCo01,10400,10600
GaCo01_01.txt,GaCo01,10500,10700
GaCo01_01.txt,GaCo01,10600,10800
GaCo01_01.txt,GaCo01,10700,10900
GaCo01_01.txt,GaCo01,10800,11000
GaCo01_01.txt,GaCo01,10900,11100
GaCo01_01.txt,GaCo01,11000,11200
GaCo01_01.txt,GaCo01,11100,11300
GaCo01_01.txt,GaCo01,11200,11400
GaCo01_01.txt,GaCo01,11300,11500
GaCo01_01.txt,GaCo01,11400,11600
GaCo01_01.txt,GaCo01,11500,11700
GaCo01_01.txt,GaCo01,11600,11800
GaCo01_01.txt,GaCo01,11700,11900
GaCo01_01.txt,GaCo01,11800,12000
GaCo01_01.txt,GaCo01,11900,12100
GaCo02_01.txt,GaCo02,0,200
GaCo02_01.txt,GaCo02,100,300
GaCo02_01.txt,GaCo02,200,400
GaCo02_01.txt,GaCo02,300,500
GaCo02_01.txt,GaCo02,400,600
GaCo02_01.txt,GaCo02,500,700
GaCo02_01.txt,GaCo02,600,800
GaCo02_01.txt,GaCo02,700,900
GaCo02_01.txt,GaCo02,800,1000
GaCo02_01.txt,GaCo02,900,1100
GaCo02_01.txt,GaCo02,1000,1200
GaCo02_01.txt,GaCo02,1100,1300
GaCo02_01.txt,GaCo02,1200,1400
GaCo02_01.txt,GaCo02,1300,1500
GaCo02_01.txt,GaCo02,1400,1600
GaCo02_01.txt,GaCo02,1500,1700
GaCo02_01.txt,GaCo02,1600,1800
GaCo02_01.txt,GaCo02,1700,1900
GaCo02_01.txt,GaCo02,1800,2000
GaCo02_01.txt,GaCo02,1900,2100
GaCo02_01.txt,GaCo02,2000,2200
GaCo02_01.txt,GaCo02,2100,2300
GaCo02_01.txt,GaCo02,2200,2400
GaCo02_01.txt,GaCo02,2300,2500
GaCo02_01.txt,GaCo02,2400,2600
GaCo02_01.txt,GaCo02,2500,2700
GaCo02_01.txt,GaCo02,2600,2800
GaCo02_01.txt,GaCo02,2700,2900
GaCo02_01.txt,GaCo02,2800,3000
GaCo02_01.txt,GaCo02,2900,3100
GaCo02_01.txt,GaCo02,3000,3200
GaCo02_01.txt,GaCo02,3100,3300
GaCo02_01.txt,GaCo02,3200,3400
GaCo02_01.txt,GaCo02,3300,3500
GaCo02_01.txt,GaCo02,3400,3600
GaCo02_01.txt,GaCo02,3500,3700
GaCo02_01.txt,GaCo02,3600,3800
GaCo02_01.txt,GaCo02,3700,3900
GaCo02_01.txt,GaCo02,3800,4000
GaCo02_01.txt,GaCo02,3900,4100
GaCo02_01.txt,GaCo02,4000,4200
GaCo02_01.txt,GaCo02,4100,4300
GaCo02_01.txt,GaCo02,4200,4400
GaCo02_01.txt,GaCo02,4300,4500
GaCo02_01.txt,GaCo02,4400,4600
GaCo02_01.txt,GaCo02,4500,4700
GaCo02_01.txt,GaCo02,4600,4800
GaCo02_01.txt,GaCo02,4700,4900
GaCo02_01.txt,GaCo02,4800,5000
GaCo02_01.txt,GaCo02,4900,5100
GaCo02_01.txt,GaCo02,5000,5200
GaCo02_01.txt,GaCo02,5100,5300
GaCo02_01.txt,GaCo02,5200,5400
GaCo02_01.txt,GaCo02,5300,5500
GaCo02_01.txt,GaCo02,5400,5600
GaCo02_01.txt,GaCo02,5500,5700
GaCo02_01.txt,GaCo02,5600,5800
GaCo02_01.txt,GaCo02,5700,5900
GaCo02_01.txt,GaCo02,5800,6000
GaCo02_01.txt,GaCo02,5900,6100
GaCo02_01.txt,GaCo02,6000,6200
GaCo02_01.txt,GaCo02,6100,6300
GaCo02_01.txt,GaCo02,6200,6400
GaCo02_01.txt,GaCo02,6300,6500
GaCo02_01.txt,GaCo02,6400,6600
GaCo02_01.txt,GaCo02,6500,6700
GaCo02_01.txt,GaCo02,6600,6800
GaCo02_01.txt,GaCo02,6700,6900
GaCo02_01.txt,GaCo02,6800,7000
GaCo02_01.txt,GaCo02,6900,7100
GaCo02_01.txt,GaCo02,7000,7200
GaCo02_01.txt,GaCo02,7100,7300
GaCo02_01.txt,GaCo02,7200,7400
GaCo02_01.txt,GaCo02,7300,7500
GaCo02_01.txt,GaCo02,7400,7600
GaCo02_01.txt,GaCo02,7500,7700
GaCo02_01.txt,GaCo02,7600,7800
GaCo02_01.txt,GaCo02,7700,7900
GaCo02_01.txt,GaCo02,7800,8000
GaCo02_01.txt,GaCo02,7900,8100
GaCo02_01.txt,GaCo02,8000,8200
GaCo02_01.txt,GaCo02,8100,8300
GaCo02_01.txt,GaCo02,8200,8400
GaCo02_01.txt,GaCo02,8300,8500
GaCo02_01.txt,GaCo02,8400,8600
GaCo02_01.txt,GaCo02,8500,8700
GaCo02_01.txt,GaCo02,8600,8800
GaCo02_01.txt,GaCo02,8700,8900
GaCo02_01.txt,GaCo02,8800,9000
GaCo02_01.txt,GaCo02,8900,9100
GaCo02_01.txt,GaCo02,9000,9200
GaCo02_01.txt,GaCo02,9100,9300
GaCo02_01.txt,GaCo02,9200,9400
GaCo02_01.txt,GaCo02,9300,9500
GaCo02_01.txt,GaCo02,9400,9600
GaCo02_01.txt,GaCo02,9500,9700
GaCo02_01.txt,GaCo02,9600,9800
GaCo02_01.txt,GaCo02,9700,9900
GaCo02_01.txt,GaCo02,9800,10000
GaCo02_01.txt,GaCo02,9900,10100
